KAB_KOTA;IPM; Anggaran  ;IPG;PKKP;PPM;PPK;PPK_Makanan;Air Layak;IKK;PDRB;IKKe;Bekerja_Informal;Bekerja_Formal
ACEH BARAT;73.69;300.746.751.000;59.59;8.41;17.6;10548;61.65;99.18;93.49;14053;0.75;31.27;17
ACEH BARAT DAYA;68.75;169.291.551.000;53.61;8.81;15.32;9559;64.03;94.81;92.68;5368;0.46;25.63;33.1
ACEH BESAR;75.13;790.470.507.000;50.49;8.13;13.21;10810;58.35;87.99;95.73;18412;0.47;34.31;26.02
ACEH JAYA;71.83;132.605.811.000;65.04;8.43;12.25;11007;60.65;75.76;98.86;3607;0.28;45;19.18
ACEH SELATAN;69.1;260.053.890.000;67.07;10.44;12.02;9190;60.29;83.32;98.65;7466;0.31;32.95;22.42
ACEH SINGKIL;70.75;124.453.626.000;59.81;7.41;19.06;9862;61.24;78.07;94.32;3441;0.74;31.26;25.93
ACEH TAMIANG;72.32;213.497.993.000;64.53;9.98;12.17;9529;56.65;76.39;94.91;11542;0.28;29.56;15.77
ACEH TENGAH;75.41;441.131.617.000;69.07;8.9;14.27;11805;57.59;88.37;100.11;10721;0.48;56.01;17.98
ACEH TENGGARA;71.7;241.930.162.000;56.4;9.44;11.99;8876;61.63;100;93.43;6737;0.35;40.17;20.1
ACEH TIMUR;69.87;345.556.090.000;49.26;8.71;13.26;9889;62.17;74.23;95.47;14935;0.46;30.16;20.27
ACEH UTARA;71.7;692.174.431.000;48.77;10.94;16.11;9374;64.92;97.01;102.71;30084;0.7;36.01;30.51
AGAM;74.66;290.498.249.000;63.63;9.24;6.83;10686;56.04;78.43;90.2;27976;0.07;44.68;24.18
ALOR;63.82;202.436.288.000;61.96;13.46;19.87;7806;55.42;85.49;102.16;4008;0.49;49.68;16.76
ASAHAN;72.09;311.374.735.000;60.54;7.64;8.12;12301;58.36;86.6;93.06;57458;0.29;30.9;29.5
ASMAT;53.92;42.232.726.000;78.04;37.04;24.5;6262;60.5;50.46;146.77;3410;1.04;68.59;24.68
BADUNG;83.87;636.415.393.000;64.2;1.02;2.23;18556;41.87;99.8;110.56;75098;0.08;44.61;44.61
BALANGAN;71.34;145.943.312.000;68.83;3.41;4.87;12325;55.04;90.62;106.76;21764;0.2;43.1;23.83
BANDUNG;74.27;666.551.038.000;71.17;5.8;6.19;11392;59.05;91.42;111.3;165609;0.09;36.36;20.12
BANDUNG BARAT;70.03;705.256.185.000;74.23;6.25;10.49;9583;52.41;92.67;111.02;61236;0.23;36.47;28.12
BANGGAI;72.32;443.160.207.000;76.96;10.91;6.56;10772;53.7;87.12;97.81;40737;0.17;42.58;21.45
BANGGAI KEPULAUAN;67.43;114.033.119.000;75.88;18.73;12.32;8375;58.74;81.03;94.27;5377;0.22;42.72;21.80
BANGGAI LAUT;67.43;43.769.178.000;71.48;15.79;13.78;8776;58.28;;96.18;3223;0.35;34.26;19.84
BANGKA;73.98;274.078.775.000;62.01;10.45;4.24;13205;52.88;90.8;106.79;20003;0.14;35.95;33.48
BANGKA BARAT;70.67;122.947.720.000;65.33;10.85;2.59;13199;56.65;92.96;104.98;19684;0.16;30.51;34.31
BANGKA SELATAN;68.86;104.761.415.000;56.29;10.95;3.74;12718;59.96;93.47;104.17;12029;0.07;37.16;32.87
BANGKA TENGAH;71.9;143.217.706.000;61.49;11.55;5.94;13677;56.36;95.84;102.59;11815;0.17;32.71;28.37
BANGKALAN;66.27;628.558.737.000;55.34;12.18;18.66;9841;;72.17;100.12;28739;0.39;44.74;36.48
BANGLI;71.34;173.232.544.000;69.06;2.94;5.06;12148;51.29;97.19;109.08;8466;0.23;29.79;28.79
BANJAR;71.87;368.214.238.000;76.41;3.97;2.36;13683;56.46;45.3;101.45;24042;0.07;40.93;28.05
BANJARNEGARA;69.6;352.128.017.000;65.02;11.79;14.71;10595;54.34;85.56;100.41;29231;0.61;42.12;21.69
BANTAENG;71.48;220.390.579.000;78.79;4.48;8.26;12719;55.86;89.92;93.7;13451;0.16;45.74;23.84
BANTUL;81.74;782.545.313.000;75.97;9.27;11.66;16851;43.56;98.34;105.13;36479;0.56;35.99;27.15
BANYU ASIN;69.51;357.564.383.000;63.76;4.21;9.31;11277;55.9;94.43;93.46;39630;0.44;51.58;24.95
BANYUMAS;74.52;2.035.882.123.000;69.77;7.98;11.95;12960;51.25;88.6;100.9;74163;0.5;38.63;27.7
BANYUWANGI;73.11;837.121.919.000;79.51;5.76;6.54;13320;;88.69;96.67;108923;0.06;41.67;
BARITO KUALA;68.84;229.097.369.000;79.23;5.36;4.36;11168;51.75;44.18;110.05;11350;0.16;40.67;25.8
BARITO SELATAN;72.36;133.758.048.000;87.93;10.82;4.83;12508;55.98;;103.59;8899;0.03;42.27;25.57
BARITO TIMUR;73.26;156.812.680.000;84.42;8.67;6.66;12576;55.49;69.57;102.86;10915;0.19;43.16;31.45
BARITO UTARA;72.31;156.388.607.000;87.49;9.83;5.67;11150;54.23;69;104.95;14039;0.22;43.88;25.4
BARRU;73.06;191.861.789.000;65.09;8.7;8.31;12058;53.03;99.76;92.49;9898;0.22;36.44;27.33
BATANG;70.74;327.243.819.000;69.4;6.53;8.73;10919;55.9;91.45;101.8;30389;0.27;38.9;
BATANG HARI;71.67;258.779.676.000;74.48;10.97;8.63;10872;52.56;86.36;90.1;26150;0.28;27.54;28.31
BATU BARA;70.83;152.842.600.000;66.24;7.45;10.94;11373;59.13;92.79;88.66;47318;0.3;34.88;29.75
BEKASI;76.44;1.118.292.302.000;66.49;4.6;4.8;12500;52.27;96.26;108.56;421324;0.17;28.37;35.69
BELITUNG;74.47;245.890.798.000;58.82;11.26;6.11;14449;48.79;97.27;103.8;14151;0.24;31.26;32.46
BELITUNG TIMUR;73.19;103.048.714.000;46.3;10.32;6.36;12610;48.12;96.42;105.22;10973;0.15;32.73;34.08
BELU;64.43;228.337.063.000;70.57;13.34;13.86;8159;56.39;90.49;77.03;5931;0.51;50.01;22.19
BENER MERIAH;75.01;166.922.686.000;51.19;7.31;18.18;12360;57.26;86.76;96.4;6521;0.8;61.31;11.3
BENGKALIS;75.28;448.386.903.000;59.8;9.92;6.36;12321;58.21;96.56;98.5;175714;0.12;30.45;32.23
BENGKAYANG;70.3;166.355.694.000;76.94;12.63;6;10208;56.94;96.02;105.48;12238;0.13;42.35;22.89
BENGKULU SELATAN;72.35;152.255.852.000;60.92;9.42;17.1;11040;55.2;82.97;95.51;7864;0.77;45.72;21.29
BENGKULU TENGAH;69.84;114.342.501.000;75.3;9.48;10.14;10672;57.41;87.09;92.01;6782;0.2;42.13;24.19
BENGKULU UTARA;71.11;177.700.506.000;59.07;9.7;10.96;11715;56.5;89.44;91;12782;0.18;41.09;23.3
BERAU;76.66;293.456.546.000;60.9;6.66;5.08;14101;47.12;92.96;115.92;50817;0.07;43.33;34.98
BIAK NUMFOR;73.98;260.999.849.000;64.72;32.14;23.46;10600;48.62;68.64;128.26;6557;2.13;34.65;17.44
BIMA;68.94;317.331.177.000;64.63;3.54;13.88;9418;68.48;88.69;111;14757;0.41;52.96;34.14
BINTAN;76.18;232.229.942.000;74.62;13.64;5.44;15078;49.75;100;105.63;30366;0.13;25.71;31.71
BIREUEN;74.45;433.811.317.000;62.34;8.98;12.1;10150;61.01;86.53;94.12;18381;0.37;32.01;27.29
BLITAR;73.09;382.165.866.000;79.86;11.99;8.16;12020;;91.4;90.03;47779;0.12;44.29;21.07
BLORA;71.39;590.460.531.000;73.96;11.19;11.42;10926;53.75;84.99;103.85;33231;0.32;40.01;
BOALEMO;68.74;145.027.103.000;74.76;15.72;17.83;10401;56.46;85.13;101.37;6984;1.12;45.49;19.79
BOGOR;72.39;4.530.368.925.000;56.99;5.68;7.05;11563;52.19;91.62;115.39;311713;0.26;38.94;33.53
BOJONEGORO;71.78;483.984.490.000;65.45;9.97;11.69;11204;;91.16;95.73;101794;0.48;41.04;21.03
BOLAANG MONGONDOW;70.29;262.882.017.000;77.29;5.38;7.74;11507;57.26;88.77;95.66;11516;0.15;47.28;16.64
BOLAANG MONGONDOW SELATAN;67.14;66.420.098.000;67.22;6.46;11.33;10114;57.16;94.38;92.21;2974;0.24;46.83;25.75
BOLAANG MONGONDOW TIMUR;68.53;85.053.579.000;73.9;6.24;5.87;10191;56.68;100;97.49;4170;0.07;45.66;25.75
BOLAANG MONGONDOW UTARA;69.32;73.478.763.000;63.81;8.51;7.88;10170;53.74;92.06;91.43;3544;0.22;45.94;23.65
BOMBANA;68.15;127.461.809.000;54.84;10.04;10.54;9692;52.24;98.41;94.69;9155;0.21;37.44;21.89
BONDOWOSO;68.65;344.149.612.000;72.33;14.49;12.6;11689;;89.9;93.02;26543;0.28;45.28;19.16
BONE;68.36;1.201.750.801.000;63.08;12.69;9.58;10084;47.85;79.16;97.16;50015;0.19;40.16;17.99
BONE BOLANGO;72.38;194.922.669.000;62.66;15.54;14.8;11717;47.95;98.87;94.7;6049;0.72;35.36;25.66
BOVEN DIGOEL;64.26;155.452.436.000;54.89;39.74;19.24;8616;58.13;59.82;139.28;5867;1.17;35.91;27.69
BOYOLALI;75.96;465.449.964.000;80.31;9.1;9.63;14195;49.16;93.61;100.85;45853;0.4;43.62;27.14
BREBES;68.46;414.799.064.000;59.35;7.9;15.6;11389;55.18;85.18;104.48;62045;0.55;39.13;
BULELENG;74.52;806.489.503.000;66.71;6.66;5.39;14377;53.47;96.25;104.76;41388;0.14;30.76;30.76
BULONGAN;73.34;;53.78;9.6;6.71;10581;53.28;77.82;109.68;25752;0.16;37.61;28.02
BULUKUMBA;71.97;279.554.201.000;74.29;12.74;8.76;11807;49.02;87.23;95.11;20224;0.35;44.62;25.02
BUNGO;71.92;246.973.717.000;59.34;6.51;5.06;12820;56.28;77.97;89.12;27356;0.06;29.82;31.67
